pair,k1,k2,name1,name2,league,start_time,fair1,fair2,quote1,quote2,limit_usd,seen_at,obs_at,cutoff_at,version,mins_to_start,n_seen
cui|j|kjaer|n,cui|j,kjaer|n,Jie Cui,Nicolai Budkov Kjaer,Davis Cup World - Group 1,2026-09-18 18:14:02,0.07217931640726233,0.9278206835927376,0.09149130832570906,0.943310657596372,375,2026-09-18 18:08:39,2026-09-18 18:04:33,2026-09-18 18:14:02,3733178556,5.4,59
dahlin|m|tseng|c,dahlin|m,tseng|c,Max Dahlin,Chun Hsin Tseng,Davis Cup World - Group 1,2026-09-19 04:40:00,0.27081318457076026,0.7291868154292397,0.2857142857142857,0.7435897435897436,3000,2026-09-19 09:30:26,2026-09-19 09:22:46,2026-09-19 04:40:00,3733738615,-290.5,115
damazio|l|santos|p,damazio|l,santos|p,Livas Eduardo De Carvalho Damazio,Paulo Andre Saraiva Dos Santos,ITF Men Belem - SF,2026-09-19 16:43:46,0.10797978520653402,0.8920202147934659,0.13157894736842105,0.9118165784832452,750,2026-09-19 16:44:24,2026-09-19 16:44:24,2026-09-19 16:43:46,3734996469,-0.7,102
dedura|d|monteiro|t,dedura|d,monteiro|t,Diego Dedura,Thiago Monteiro,ATP Challenger Szczecin - QF,2026-09-18 11:00:00,0.5365834906023977,0.46341650939760237,0.5515695067264574,0.47846889952153115,3000,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 11:00:00,3732655947,-148.4,108
desvignes|e|okamura|k,desvignes|e,okamura|k,Eva Marie Desvignes,Kyoka Okamura,WTA Singapore - Qualifiers,2026-09-19 06:40:00,0.2584060758670876,0.7415939241329124,0.2785515320334262,0.7607655502392345,1750,2026-09-19 06:30:16,2026-09-19 06:24:08,2026-09-19 06:40:00,3733779446,9.7,32
dimitrov|g|moller|e,dimitrov|g,moller|e,Grigor Dimitrov,Elmer Moller,Davis Cup World - Group 1,2026-09-18 14:22:55,0.7591070765269806,0.24089292347301938,0.7757847533632287,0.25839793281653745,1800,2026-09-18 14:31:13,2026-09-18 14:18:06,2026-09-18 14:22:55,3732845305,-8.3,35
dmitrichenko|y|luciano|l,dmitrichenko|y,luciano|l,Yekaterina Dmitrichenko,Lavinia Luciano,ITF Women Monastir - SF,2026-09-19 11:00:00,0.7754059332396981,0.2245940667603019,0.7983870967741935,0.24937655860349128,750,2026-09-19 11:06:58,2026-09-19 10:55:51,2026-09-19 11:00:00,3733887972,-7.0,81
dmitrichenko|y|mariani|m,dmitrichenko|y,mariani|m,Yekaterina Dmitrichenko,Matilde Mariani,ITF Women Monastir - Final,2026-09-20 08:46:09,0.7374138169500907,0.2625861830499094,0.7607655502392345,0.28735632183908044,750,2026-09-20 08:49:59,2026-09-20 08:37:23,2026-09-20 08:46:09,3735944737,-3.9,47
dodig|m|zverev|a,dodig|m,zverev|a,Matej Dodig,Alexander Zverev,Davis Cup - Qualifiers,2026-09-19 12:23:52,0.04554602457035457,0.9544539754296454,0.066711140760507,0.9691262735412164,225,2026-09-19 12:28:38,2026-09-19 12:19:08,2026-09-19 12:23:52,3734182190,-4.8,64
domenc|m|ribecai|m,domenc|m,ribecai|m,Mathys Domenc,Michele Ribecai,ATP Challenger St Tropez - Qualifiers,2026-09-20 08:12:16,0.19156218532407238,0.8084378146759277,0.21645021645021645,0.8310810810810811,550,2026-09-20 08:15:24,2026-09-20 08:03:44,2026-09-20 08:12:16,3735914638,-3.2,34
dourado|j|estevez|j,dourado|j,estevez|j,Jennifer Rosa Dourado,Josefina Estevez,ITF Women Sao Luis - QF,2026-09-18 13:44:55,0.04984197606900064,0.9501580239309995,0.06934812760055478,0.9643874643874645,750,2026-09-18 13:44:09,2026-09-18 13:32:47,2026-09-18 14:30:00,3732798773,0.8,90
draxl|l|rinderknech|a,draxl|l,rinderknech|a,Liam Draxl,Arthur Rinderknech,Davis Cup - Qualifiers,2026-09-18 22:16:00,0.2143154288191777,0.7856845711808222,0.234192037470726,0.8043052837573386,1300,2026-09-18 21:26:13,2026-09-18 21:14:52,2026-09-18 21:21:53,3733512241,49.8,87
droguet|t|gojo|b,droguet|t,gojo|b,Titouan Droguet,Borna Gojo,ATP Challenger Rennes - QF,2026-09-18 17:14:38,0.5657541654194037,0.4342458345805963,0.5798319327731092,0.4484304932735426,3000,2026-09-18 17:19:08,2026-09-18 17:06:33,2026-09-18 17:14:38,3733065926,-4.5,90
droguet|t|wayenburg|s,droguet|t,wayenburg|s,Titouan Droguet,Sascha Gueymard Wayenburg,ATP Challenger Rennes - SF,2026-09-19 13:30:00,0.6903659343524666,0.3096340656475335,0.7050147492625369,0.3246753246753247,3000,2026-09-19 13:39:34,2026-09-19 13:36:51,2026-09-19 13:46:30,3734380940,-9.6,75
duckworth|j|kasnikowski|m,duckworth|j,kasnikowski|m,James Duckworth,Maks Kasnikowski,Davis Cup World - Group 1,2026-09-20 07:51:00,0.6559112126661653,0.3440887873338348,0.66996699669967,0.35842293906810035,3000,2026-09-20 09:03:02,2026-09-20 08:49:00,2026-09-20 07:51:00,3735902413,-72.1,120
duckworth|j|majchrzak|k,duckworth|j,majchrzak|k,James Duckworth,Kamil Majchrzak,Davis Cup World - Group 1,2026-09-19 05:30:00,0.4086295698191187,0.5913704301808814,0.42372881355932196,0.6062992125984252,3000,2026-09-19 04:42:52,2026-09-19 04:31:57,2026-09-19 04:41:15,3733742809,47.1,96
durand|y|poling|k,durand|y,poling|k,Yanis Ghazouani Durand,Karl Poling,ATP Challenger St Tropez - Qualifiers,2026-09-20 10:30:00,0.6136602647636364,0.38633973523636356,0.635036496350365,0.4081632653061224,1000,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 10:30:00,3735950866,-4.3,49
duran|a|molteni|g,duran|a,molteni|g,Arda Azkara / Tuncay Duran,Guido Andreozzi / Andres Molteni,Davis Cup - Doubles,2026-09-20 14:00:00,0.11035155333227029,0.8896484466677297,0.13908205841446453,0.9130434782608695,300,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 14:00:00,3736077013,205.7,4
echargui|m|potenza|l,echargui|m,potenza|l,Moez Echargui,Luca Potenza,ATP Challenger St Tropez - Qualifiers,2026-09-20 13:10:00,0.6386388119594104,0.3613611880405896,0.6598639455782314,0.38314176245210724,1000,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:10:00,3736067445,155.7,49
eikeri|u|yamaguchi|m,eikeri|u,yamaguchi|m,Ulrikke Eikeri,Mei Yamaguchi,WTA Singapore - Qualifiers,2026-09-19 08:46:28,0.15550273617003993,0.84449726382996,0.17761989342806395,0.8643147896879241,875,2026-09-19 08:51:31,2026-09-19 08:40:01,2026-09-19 08:46:28,3733852666,-5.1,46
erel|y|tirante|t,erel|y,tirante|t,Yanki Erel,Thiago Agustin Tirante,Davis Cup World - Group 1,2026-09-20 16:35:00,0.2455911908039278,0.754408809196072,0.2631578947368421,0.7711670480549199,600,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 16:35:00,3736069036,360.7,15
erhard|m|zahraj|p,erhard|m,zahraj|p,Mathys Erhard,Patrick Zahraj,ATP Challenger St Tropez - Qualifiers,2026-09-20 12:30:00,0.7060120130175491,0.293987986982451,0.7275204359673024,0.3164556962025316,1000,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 12:30:00,3736046649,115.7,49
escorihuela|i|linana|a,escorihuela|i,linana|a,Irene Burillo Escorihuela,Alicia Herrero Linana,WTA 125k Valencia - QF,2026-09-18 14:47:52,0.46174049165998776,0.5382595083400123,0.48309178743961345,0.5594713656387665,1750,2026-09-18 14:53:12,2026-09-18 14:41:51,2026-09-18 14:47:52,3732869472,-5.4,74
farjat|t|longo|n,farjat|t,longo|n,Tomas Farjat,Nicolas Garcia Longo,ATP Challenger Buenos Aires - Qualifiers,2026-09-20 13:05:00,0.6525048494027363,0.34749515059726377,0.6865203761755486,0.38314176245210724,350,2026-09-20 10:34:18,2026-09-20 10:34:18,2026-09-20 13:05:00,3736096175,150.7,7
fatic|m|smit|a,fatic|m,smit|a,Mirza Basic / Nerman Fatic,Alec Beckley / Thando Longwe-Smit,Davis Cup - Doubles,2026-09-20 09:00:00,0.7660824978807014,0.23391750211929863,0.791231732776618,0.2610966057441253,450,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 09:00:00,3735951002,-94.3,19
faurel|t|petrovic|a,faurel|t,petrovic|a,Thomas Faurel,Andreja Petrovic,ITF Men Nevers - QF,2026-09-18 14:25:48,0.8075336005244941,0.19246639947550606,0.830220713073005,0.2173913043478261,750,2026-09-18 14:31:13,2026-09-18 14:18:06,2026-09-18 14:25:48,3732848581,-5.4,66
feng|e|laboutkova|a,feng|e,laboutkova|a,Estelle Cascino / Shuo Feng,Aneta Kucmova / Aneta Laboutkova,WTA 125K Ljubljana - Doubles,2026-09-19 14:00:00,0.46971690585279485,0.5302830941472053,0.504950495049505,0.5652173913043479,1250,2026-09-19 13:56:17,2026-09-19 13:41:54,2026-09-19 14:00:00,3734391371,3.7,39
feng|e|moratelli|l,feng|e,moratelli|l,Estelle Cascino / Shuo Feng,Lucija Ciric Bagaric / Angelica Moratelli,WTA 125K Ljubljana - Doubles,2026-09-20 11:20:00,0.5043106652040431,0.49568933479595695,0.5412844036697247,0.5327102803738317,625,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 11:20:00,3736072134,45.7,15
feng|e|sebestova|k,feng|e,sebestova|k,Estelle Cascino / Shuo Feng,Kristina Novak / Ivana Sebestova,WTA 125K Ljubljana - Doubles,2026-09-18 11:20:00,0.6246290278651399,0.3753709721348599,0.6610169491525424,0.4132231404958678,375,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 11:20:00,3732660207,-128.4,36
fernandez|b|pagani|d,fernandez|b,pagani|d,Bruno Fernandez,Dante Pagani,ATP Challenger Buenos Aires - Qualifiers,2026-09-20 13:10:00,0.6991347392659447,0.30086526073405534,0.7267759562841529,0.33003300330033003,125,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:10:00,3735951993,155.7,19
fery|a|meza|a,fery|a,meza|a,Arthur Fery,Alvaro Guillen Meza,Davis Cup - Qualifiers,2026-09-19 13:56:00,0.9177542482852001,0.08224575171479981,0.9372253609541745,0.10706638115631692,300,2026-09-19 14:19:28,2026-09-19 14:06:51,2026-09-19 13:56:00,3734416466,-23.5,76
fick|g|steiner|v,fick|g,steiner|v,Gabriella Da Silva Fick,Valentina Steiner,WTA 125K Porto - Qualifiers,2026-09-20 13:00:00,0.4099060733254836,0.5900939266745164,0.43103448275862066,0.6108949416342413,1750,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:00:00,3736049764,145.7,58
fonseca|j|stricker|d,fonseca|j,stricker|d,Joao Fonseca,Dominic Stephan Stricker,Davis Cup World - Group 1,2026-09-18 18:23:24,0.7766825505510576,0.22331744944894247,0.7907949790794978,0.23809523809523808,3000,2026-09-18 18:26:42,2026-09-18 18:26:42,2026-09-18 20:00:00,3733146228,-3.3,60
fonseca|j|wawrinka|s,fonseca|j,wawrinka|s,Joao Fonseca,Stan Wawrinka,Davis Cup World - Group 1,2026-09-19 19:17:00,0.8279011260718044,0.17209887392819567,0.8417721518987341,0.1869158878504673,2250,2026-09-19 19:27:10,2026-09-19 19:13:55,2026-09-19 19:13:00,3735344698,-10.2,83
friberg|k|hsu|y,friberg|k,hsu|y,Karl Friberg,Yu Hsiou Hsu,Davis Cup World - Group 1,2026-09-20 06:30:00,0.18054705546755548,0.8194529445324445,0.1953125,0.8333333333333334,2250,2026-09-20 06:33:11,2026-09-20 06:33:11,2026-09-20 06:38:00,3735867792,-3.2,36
friedsam|a|krawczyk|d,friedsam|a,krawczyk|d,Anna-Lena Friedsam,Desirae Krawczyk,WTA Singapore - Qualifiers,2026-09-19 03:10:00,0.9452618018633889,0.0547381981366112,0.9625888514777404,0.07942811755361398,250,2026-09-19 02:57:56,2026-09-19 02:52:46,2026-09-19 03:10:00,3733697756,11.9,1
friedsam|a|kulikova|a,friedsam|a,kulikova|a,Anna-Lena Friedsam,Anastasia Kulikova,WTA Singapore - Qualifiers,2026-09-20 04:12:56,0.5242005672154525,0.4757994327845475,0.5433789954337899,0.49504950495049505,1750,2026-09-20 04:08:51,2026-09-20 04:02:11,2026-09-20 04:00:00,3735795485,4.1,38
garcia|a|steur|j,garcia|a,steur|j,Andrea Lazaro Garcia,Joelle Lilly Sophie Steur,WTA 125k Valencia - QF,2026-09-18 16:33:28,0.6320854075628511,0.36791459243714886,0.6527777777777778,0.3891050583657587,1750,2026-09-18 16:30:55,2026-09-18 16:30:55,2026-09-18 16:33:28,3733008018,2.5,140
garin|c|jodar|r,garin|c,jodar|r,Cristian Garin,Rafael Jodar,Davis Cup - Qualifiers,2026-09-19 18:15:00,0.21893113828458072,0.7810688617154194,0.23866348448687355,0.7995991983967936,1750,2026-09-19 18:51:04,2026-09-19 18:43:45,2026-09-19 18:24:00,3735232940,-36.1,73
garland|j|morvayova|v,garland|j,morvayova|v,Joanna Garland,Viktoria Morvayova,WTA Singapore - Qualifiers,2026-09-20 05:49:20,0.7916243920750532,0.20837560792494678,0.810246679316888,0.22831050228310504,1300,2026-09-20 05:55:43,2026-09-20 05:43:52,2026-09-20 05:49:20,3735845303,-6.4,50
garland|j|perez|e,garland|j,perez|e,Joanna Garland,Ellen Perez,WTA Singapore - Qualifiers,2026-09-19 05:30:00,0.9018200042476026,0.09817999575239746,0.9242997728993186,0.1264222503160556,250,2026-09-19 05:36:52,2026-09-19 05:29:25,2026-09-19 05:30:00,3733760108,-6.9,26
gaubas|v|kecmanovic|m,gaubas|v,kecmanovic|m,Vilius Gaubas,Miomir Kecmanovic,Davis Cup World - Group 1,2026-09-20 12:30:00,0.26231778883918294,0.7376822111608168,0.2770083102493075,0.7518610421836228,3000,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 12:30:00,3736012976,115.7,57
gaubas|v|medjedovic|h,gaubas|v,medjedovic|h,Vilius Gaubas,Hamad Medjedovic,Davis Cup World - Group 1,2026-09-19 14:53:30,0.3411853372812266,0.6588146627187734,0.35587188612099646,0.673202614379085,3000,2026-09-19 14:57:35,2026-09-19 14:45:37,2026-09-19 14:53:30,3734654305,-4.1,85
gentzsch|t|mikrut|l,gentzsch|t,mikrut|l,Tom Gentzsch,Luka Mikrut,ATP Challenger Szczecin - QF,2026-09-18 13:00:00,0.5199349981214763,0.4800650018785237,0.5348837209302326,0.49504950495049505,3000,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 13:00:00,3732656136,-28.4,108
gima|s|tolev|a,gima|s,tolev|a,Sebastian Gima,Aleksandar Tolev,ATP Challenger Plovdiv - Qualifiers,2026-09-20 07:10:00,0.8847910712961593,0.11520892870384081,0.9135695764909249,0.1519756838905775,50,2026-09-20 07:10:25,2026-09-20 07:03:18,2026-09-20 07:12:14,3735879697,-0.4,30
gombos|n|sakellaridis|s,gombos|n,sakellaridis|s,Norbert Gombos,Stefanos Sakellaridis,Davis Cup World - Group 1,2026-09-20 13:00:00,0.5720962594132143,0.42790374058678565,0.5884773662551441,0.4444444444444444,600,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 13:00:00,3736062278,145.7,19
gombos|n|tsitsipas|s,gombos|n,tsitsipas|s,Norbert Gombos,Stefanos Tsitsipas,Davis Cup World - Group 1,2026-09-19 13:11:00,0.13938324370892713,0.8606167562910729,0.15625,0.8759305210918114,1500,2026-09-19 12:28:38,2026-09-19 12:21:52,2026-09-19 12:25:51,3734192193,42.4,66
gorzny|s|wolf|j,gorzny|s,wolf|j,Sebastian Gorzny,Jeffrey John Wolf,ATP Challenger Tiburon - QF,2026-09-18 23:10:00,0.32517331354062007,0.67482668645938,0.3401360544217687,0.6894409937888198,3000,2026-09-18 23:10:53,2026-09-18 23:06:23,2026-09-18 23:11:20,3733552138,-1.0,190
grenier|h|langmo|c,grenier|h,langmo|c,Hugo Grenier,Christian Langmo,ATP Challenger St Tropez - Qualifiers,2026-09-20 11:30:00,0.7038694247506683,0.2961305752493318,0.7252747252747253,0.3184713375796178,1000,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 11:30:00,3736046123,55.7,49
grevelius|a|hsu|r,grevelius|a,hsu|r,Andre Goransson / Erik Grevelius,Ray Ho / Yu Hsiou Hsu,Davis Cup - Doubles,2026-09-20 03:00:00,0.5964331015883567,0.4035668984116433,0.6197718631178707,0.4273504273504274,1250,2026-09-20 03:51:05,2026-09-20 03:47:06,2026-09-20 03:00:00,3735507341,-51.1,104
griekspoor|t|mejia|n,griekspoor|t,mejia|n,Tallon Griekspoor,Nicolas Mejia,Davis Cup World - Group 1,2026-09-18 15:47:00,0.8360128515961444,0.1639871484038556,0.851851851851852,0.1811594202898551,1700,2026-09-18 14:58:34,2026-09-18 14:58:34,2026-09-18 15:05:06,3732886257,48.4,39
griekspoor|t|rodriguez|j,griekspoor|t,rodriguez|j,Tallon Griekspoor,Johan Alexander Rodriguez,Davis Cup World - Group 1,2026-09-19 16:33:00,0.8691011742026463,0.1308988257973537,0.8842592592592592,0.14771048744460857,1500,2026-09-19 16:30:27,2026-09-19 16:17:05,2026-09-19 16:33:00,3734883285,2.5,53
gulin|s|tabata|r,gulin|s,tabata|r,Svyatoslav Gulin,Ryo Tabata,ATP Challenger Plovdiv - Qualifiers,2026-09-20 07:13:52,0.8304101826018081,0.16958981739819184,0.8585572842998586,0.20202020202020202,125,2026-09-20 07:10:25,2026-09-20 07:05:16,2026-09-20 07:13:52,3735880488,3.4,30
heck|h|simakin|i,heck|h,simakin|i,Hunter Heck,Ilia Simakin,ATP Challenger Phan Thiet - SF,2026-09-19 04:00:00,0.2062164927420846,0.7937835072579151,0.22371364653243844,0.810246679316888,1875,2026-09-19 02:57:56,2026-09-19 02:52:46,2026-09-19 04:00:00,3733697681,61.9,127
heide|g|stricker|d,heide|g,stricker|d,Gustavo Heide,Dominic Stephan Stricker,Davis Cup World - Group 1,2026-09-19 22:00:00,0.43148577086963086,0.5685142291303691,0.4464285714285714,0.5833333333333333,3000,2026-09-19 22:00:00,2026-09-19 21:59:58,2026-09-19 22:00:00,3735537077,-0.0,98
heide|g|wawrinka|s,heide|g,wawrinka|s,Gustavo Heide,Stan Wawrinka,Davis Cup World - Group 1,2026-09-18 21:33:00,0.3701285816954703,0.6298714183045296,0.3846153846153846,0.6441281138790036,3000,2026-09-18 20:55:42,2026-09-18 20:55:42,2026-09-18 20:52:04,3733497066,37.3,79
hibino|n|ito|a,hibino|n,ito|a,Nao Hibino,Aoi Ito,WTA Singapore - Qualifiers,2026-09-20 04:12:54,0.5,0.5,0.5192307692307692,0.5192307692307692,1750,2026-09-20 04:08:51,2026-09-20 04:02:11,2026-09-20 05:00:00,3735804230,4.0,38
hibino|n|ng|k,hibino|n,ng|k,Nao Hibino,Kai Ning Chanya Ng,WTA Singapore - Qualifiers,2026-09-19 04:20:00,0.9805904647964789,0.019409535203521087,0.9898662342926631,0.03685956505713233,250,2026-09-19 02:57:56,2026-09-19 02:52:46,2026-09-19 04:20:00,3733696731,81.9,11
hidalgo|g|skupski|h,hidalgo|g,skupski|h,Gonzalo Escobar / Diego Hidalgo,Henry Patten / Neal Skupski,Davis Cup - Doubles,2026-09-20 11:00:00,0.16502376720148132,0.8349762327985187,0.19267822736030826,0.859353023909986,625,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 11:00:00,3736077926,25.7,17
hontama|m|lee|e,hontama|m,lee|e,Mai Hontama,Eunhye Lee,WTA Seoul - Qualifiers,2026-09-19 03:31:56,0.8047166587084043,0.19528334129159597,0.8254799301919721,0.2178649237472767,450,2026-09-19 03:31:36,2026-09-19 03:22:58,2026-09-19 03:31:56,3733714752,0.3,13
hon|p|yao|x,hon|p,yao|x,Priscilla Hon,Xinxin Yao,WTA Seoul - Qualifiers,2026-09-19 04:30:00,0.5982148211416995,0.40178517885830045,0.6197718631178707,0.42372881355932196,1050,2026-09-19 04:33:26,2026-09-19 04:23:20,2026-09-19 04:30:00,3733731142,-3.5,19
hsu|y|wallin|o,hsu|y,wallin|o,Yu Hsiou Hsu,Olle Wallin,Davis Cup World - Group 1,2026-09-19 03:16:12,0.5117990196634443,0.4882009803365558,0.5260663507109005,0.5024875621890548,3000,2026-09-19 03:15:44,2026-09-19 03:07:52,2026-09-19 03:16:12,3733705143,0.5,88
huang|y|sidorova|k,huang|y,sidorova|k,Yujia Huang,Kristiana Sidorova,ITF Women Shenyang - SF,2026-09-19 03:00:00,0.44759153219289183,0.5524084678071083,0.4716981132075471,0.576271186440678,750,2026-09-19 01:57:53,2026-09-19 01:52:25,2026-09-19 03:00:00,3733661371,62.1,49
huergo|i|karamoko|d,huergo|i,karamoko|d,Irene Burillo Escorihuela / Nicole Fossa Huergo,Dalila Jakupovic / Naima Karamoko,WTA 125k Valencia - Doubles,2026-09-20 15:40:00,0.4913767461894386,0.5086232538105614,0.5283018867924528,0.5454545454545454,250,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 15:40:00,3736077242,305.7,12
huergo|i|vedder|d,huergo|i,vedder|d,Irene Burillo Escorihuela / Nicole Fossa Huergo,Despina Papamichail / Eva Vedder,WTA 125k Valencia - Doubles,2026-09-18 15:50:00,0.5589429818559883,0.44105701814401166,0.5934959349593496,0.47619047619047616,500,2026-09-18 20:19:51,2026-09-18 20:05:17,2026-09-18 15:50:00,3732756077,-269.9,76
ibragimova|a|saigo|r,ibragimova|a,saigo|r,Alevtina Ibragimova,Rina Saigo,WTA Seoul - Qualifiers,2026-09-19 09:09:30,0.7212895377057471,0.278710462294253,0.7402597402597403,0.29850746268656714,1750,2026-09-19 09:09:38,2026-09-19 09:01:49,2026-09-19 09:09:30,3733876631,-0.1,28
ibragimova|a|saito|s,ibragimova|a,saito|s,Alevtina Ibragimova,Sara Saito,WTA Seoul - Qualifiers,2026-09-20 04:42:10,0.7324819131622113,0.2675180868377885,0.7536945812807883,0.2898550724637681,1050,2026-09-20 04:45:14,2026-09-20 04:32:21,2026-09-20 04:42:10,3735817319,-3.1,25
ito|a|lansere|s,ito|a,lansere|s,Aoi Ito,Sofya Lansere,WTA Singapore - Qualifiers,2026-09-19 04:20:00,0.6565396086477473,0.3434603913522528,0.6774193548387096,0.36496350364963503,1050,2026-09-19 04:54:31,2026-09-19 04:43:56,2026-09-19 04:51:10,3733745721,-34.5,21
ivanov|s|jubb|p,ivanov|s,jubb|p,Saveliy Ivanov,Paul Jubb,ITF Men Hurghada - SF,2026-09-19 09:00:00,0.039299315488380095,0.9607006845116199,0.0573394495412844,0.9732262382864791,750,2026-09-19 06:00:10,2026-09-19 05:53:56,2026-09-19 09:00:00,3733752156,179.8,65
izquierdo|n|kolar|z,izquierdo|n,kolar|z,Nikolas Sanchez Izquierdo,Zdenek Kolar,ATP Challenger Szczecin - QF,2026-09-18 15:31:49,0.5694991259569396,0.43050087404306037,0.5833333333333333,0.4444444444444444,3000,2026-09-18 15:36:45,2026-09-18 15:26:51,2026-09-18 15:31:49,3732920613,-4.9,66
izquierdo|n|mikrut|l,izquierdo|n,mikrut|l,Nikolas Sanchez Izquierdo,Luka Mikrut,ATP Challenger Szczecin - SF,2026-09-19 14:40:13,0.42151937111466176,0.5784806288853382,0.4366812227074236,0.5934959349593496,3000,2026-09-19 14:46:22,2026-09-19 14:46:22,2026-09-19 14:40:13,3734590118,-6.2,106
izquierdo|n|monteiro|t,izquierdo|n,monteiro|t,Nikolas Sanchez Izquierdo,Thiago Monteiro,ATP Challenger Szczecin - Final,2026-09-20 10:15:53,0.4905626768653605,0.5094373231346395,0.504950495049505,0.5238095238095238,3000,2026-09-20 10:27:04,2026-09-20 10:19:34,2026-09-20 10:15:53,3736065926,-11.2,75
jade|d|peniston|r,jade|d,peniston|r,Daniel Jade,Ryan Peniston,ATP Challenger St Tropez - Qualifiers,2026-09-20 08:17:10,0.4240328647581213,0.5759671352418788,0.4484304932735426,0.6000000000000001,750,2026-09-20 08:15:24,2026-09-20 08:07:01,2026-09-20 09:10:00,3735916204,1.7,34
jang|g|shubladze|a,jang|g,shubladze|a,Gaeul Jang,Alexandra Shubladze,WTA Seoul - Qualifiers,2026-09-19 02:10:00,0.03957332553073775,0.9604266744692622,0.0619962802231866,0.9749561733032808,250,2026-09-19 01:57:53,2026-09-19 01:52:25,2026-09-19 02:10:00,3733653118,12.1,7
janvier|m|squire|h,janvier|m,squire|h,Maxime Janvier,Henri Squire,ATP Challenger St Tropez - Qualifiers,2026-09-20 10:20:00,0.3476013154499509,0.6523986845500491,0.36900369003690037,0.673202614379085,1000,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 10:20:00,3736045629,-14.3,43
jeong|b|zidansek|t,jeong|b,zidansek|t,Boyoung Jeong,Tamara Zidansek,WTA Seoul - Qualifiers,2026-09-19 04:30:00,0.1320984042806457,0.8679015957193541,0.1589825119236884,0.8908296943231441,350,2026-09-19 04:33:26,2026-09-19 04:23:20,2026-09-19 04:30:00,3733731142,-3.5,19
jodar|r|tabilo|a,jodar|r,tabilo|a,Rafael Jodar,Alejandro Tabilo,Davis Cup - Qualifiers,2026-09-20 16:30:00,0.7672153300597905,0.2327846699402096,0.788135593220339,0.25510204081632654,450,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 16:30:00,3736074522,355.7,13
johnson|s|sebestova|i,johnson|s,sebestova|i,Sofia Johnson,Ivana Sebestova,WTA 125K Porto - Qualifiers,2026-09-20 12:00:00,0.9607764273769462,0.039223572623053864,0.9752291305424821,0.06157635467980295,225,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 12:00:00,3735975052,85.7,48
jorge|f|micic|r,jorge|f,micic|r,Francisca Jorge / Matilde Jorge,Rutuja Bhosale / Elena Micic,WTA 125k Caldas Da Rainha - Doubles,2026-09-18 18:30:00,0.6899478644470055,0.31005213555299455,0.7237569060773481,0.34602076124567477,1250,2026-09-18 18:26:42,2026-09-18 18:19:39,2026-09-18 18:30:00,3733059064,3.3,60
jorge|f|vandromme|j,jorge|f,vandromme|j,Francisca Jorge,Jeline Vandromme,WTA 125k Caldas Da Rainha - QF,2026-09-18 14:40:00,0.2820300146959044,0.7179699853040956,0.303951367781155,0.7389033942558746,1750,2026-09-18 13:44:09,2026-09-18 13:32:47,2026-09-18 14:40:00,3732807957,55.8,66
jovic|i|stearns|p,jovic|i,stearns|p,Iva Jovic,Peyton Stearns,WTA Guadalajara - Final,2026-09-19 23:00:00,0.7683779627106773,0.23162203728932276,0.7802197802197802,0.24390243902439027,10000,2026-09-19 23:01:10,2026-09-19 23:00:18,2026-09-20 00:00:00,3735580948,-1.2,136
juan|s|sperle|j,juan|s,sperle|j,Sergi Fita Juan,John Sperle,ATP Challenger Genoa - Qualifiers,2026-09-20 10:50:00,0.29648548548596726,0.7035145145140328,0.32573289902280134,0.7311827956989247,350,2026-09-20 09:55:14,2026-09-20 09:49:24,2026-09-20 09:55:40,3736032016,54.8,46
juhas|k|prihodko|o,juhas|k,prihodko|o,Kristijan Juhas,Oleg Prihodko,ITF Men Zlatibor - SF,2026-09-19 08:00:00,0.2862712282897982,0.7137287717102015,0.3105590062111801,0.7368421052631579,750,2026-09-19 08:08:36,2026-09-19 08:06:58,2026-09-19 08:12:22,3733823758,-8.6,47
juhas|k|topo|m,juhas|k,topo|m,Kristijan Juhas,Marko Topo,ITF Men Zlatibor - Final,2026-09-20 09:15:45,0.2972090337429826,0.7027909662570176,0.3215434083601286,0.726027397260274,750,2026-09-20 09:20:10,2026-09-20 09:07:38,2026-09-20 09:15:45,3735982101,-4.4,149
