pair,k1,k2,name1,name2,league,start_time,fair1,fair2,quote1,quote2,limit_usd,seen_at,obs_at,cutoff_at,version,mins_to_start,n_seen
bergs|z|neumayer|l,bergs|z,neumayer|l,Zizou Bergs,Lukas Neumayer,Davis Cup - Qualifiers,2026-09-18 12:15:00,0.6611053006212773,0.33889469937872285,0.6825396825396826,0.36101083032490977,450,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 12:15:00,3732657699,-73.4,34
bergs|z|rodionov|j,bergs|z,rodionov|j,Zizou Bergs,Jurij Rodionov,Davis Cup - Qualifiers,2026-09-19 11:39:36,0.6071263905482052,0.3928736094517948,0.6254681647940076,0.41152263374485604,1750,2026-09-19 11:44:54,2026-09-19 11:33:36,2026-09-19 11:39:36,3734090672,-5.3,60
bertimon|c|hurrion|m,bertimon|c,hurrion|m,Charles Bertimon,Millen Hurrion,ITF Men Hurghada - SF,2026-09-19 09:00:00,0.14267892405865867,0.8573210759413413,0.16722408026755853,0.8787878787878788,750,2026-09-19 06:00:10,2026-09-19 05:53:56,2026-09-19 09:00:00,3733752156,179.8,65
bertimon|c|jubb|p,bertimon|c,jubb|p,Charles Bertimon,Paul Jubb,ITF Men Hurghada - Final,2026-09-20 09:00:00,0.09843006213571893,0.9015699378642815,0.12165450121654503,0.9207606973058637,550,2026-09-20 06:33:11,2026-09-20 06:33:11,2026-09-20 06:42:43,3735868925,146.8,127
berto|l|bocchi|l,berto|l,bocchi|l,Lorenzo Berto,Lorenzo Bocchi,ATP Challenger Genoa - Qualifiers,2026-09-20 08:44:01,0.3027035246271354,0.6972964753728643,0.33222591362126247,0.7252747252747253,350,2026-09-20 08:49:59,2026-09-20 08:37:23,2026-09-20 08:44:01,3735942271,-6.0,38
bessonov|d|lagarrigue|f,bessonov|d,lagarrigue|f,Dmitry Bessonov,Florent Lagarrigue,ITF Men Tsaghkadzor - SF,2026-09-19 08:00:00,0.3675645788426883,0.6324354211573117,0.3921568627450981,0.6563573883161512,750,2026-09-19 08:08:36,2026-09-19 07:54:42,2026-09-19 08:00:00,3733772015,-8.6,60
bessonov|d|popko|d,bessonov|d,popko|d,Dmitry Bessonov,Dmitry Popko,ITF Men Tsaghkadzor - Final,2026-09-20 07:15:18,0.10072623525928566,0.8992737647407144,0.1240694789081886,0.918633034987795,750,2026-09-20 07:10:25,2026-09-20 07:03:18,2026-09-20 08:00:00,3735875248,4.9,119
bicknell|b|vrba|j,bicknell|b,vrba|j,Blaise Bicknell,Jakub Vrba,ATP Challenger San Diego - Qualifiers,2026-09-20 20:00:00,0.751546418104192,0.24845358189580796,0.7854077253218884,0.2857142857142857,375,2026-09-20 10:34:18,2026-09-20 10:34:18,2026-09-20 20:00:00,3736097940,565.7,3
bigun|k|fenty|a,bigun|k,fenty|a,Kaylan Bigun,Andrew Fenty,ATP Challenger San Diego - Qualifiers,2026-09-20 18:10:00,0.42441739829977937,0.5755826017002206,0.45248868778280543,0.6031746031746031,75,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 18:10:00,3736048245,455.7,3
bilardo|j|willwerth|b,bilardo|j,willwerth|b,Jacopo Bilardo,Benjamin Willwerth,ITF Men Monastir - SF,2026-09-19 15:09:42,0.2879309599577679,0.7120690400422321,0.3125,0.7354497354497355,750,2026-09-19 15:19:48,2026-09-19 15:05:56,2026-09-19 15:09:42,3734702368,-10.1,69
binda|a|tomic|b,binda|a,tomic|b,Alexandr Binda,Bernard Tomic,ATP Challenger Guangzhou - QF,2026-09-18 11:00:00,0.17209887392819567,0.8279011260718044,0.1869158878504673,0.8417721518987341,2250,2026-09-18 13:28:24,2026-09-18 13:17:42,2026-09-18 11:00:00,3732662546,-148.4,121
biryukov|p|sharipov|m,biryukov|p,sharipov|m,Petr Bar Biryukov,Marat Sharipov,ATP Challenger Guangzhou - SF,2026-09-19 09:30:00,0.20832191257128785,0.7916780874287122,0.2232142857142857,0.8058252427184467,2250,2026-09-19 09:39:18,2026-09-19 09:25:18,2026-09-19 09:30:00,3733847069,-9.3,93
blanch|d|nakashima|b,blanch|d,nakashima|b,Darwin Blanch,Bryce Nakashima,ATP Challenger Tiburon - QF,2026-09-18 19:14:27,0.6616688414493582,0.3383311585506419,0.6763754045307443,0.35335689045936397,3000,2026-09-18 19:18:26,2026-09-18 19:04:55,2026-09-18 19:14:27,3733336746,-4.0,104
blanch|d|zheng|m,blanch|d,zheng|m,Darwin Blanch,Michael Zheng,ATP Challenger Tiburon - SF,2026-09-19 21:11:59,0.28624493638481135,0.7137550636151887,0.30120481927710846,0.7282608695652174,3000,2026-09-19 21:15:21,2026-09-19 21:08:03,2026-09-19 21:11:59,3735508319,-3.4,134
blinkova|a|charaeva|a,blinkova|a,charaeva|a,Anna Blinkova,Alina Charaeva,WTA Sao Paulo - QF,2026-09-18 19:00:00,0.6066208112510169,0.3933791887489831,0.6212121212121212,0.4081632653061224,4000,2026-09-18 18:08:39,2026-09-18 18:04:33,2026-09-18 18:11:21,3733173244,51.3,99
blinkova|a|quevedo|k,blinkova|a,quevedo|k,Anna Blinkova,Kaitlin Quevedo,WTA Sao Paulo - SF,2026-09-19 16:10:00,0.5988957670954711,0.4011042329045289,0.6108949416342413,0.4132231404958678,5000,2026-09-19 16:10:15,2026-09-19 16:10:15,2026-09-19 16:12:49,3734907899,-0.3,104
bobichon|m|schoolkate|t,bobichon|m,schoolkate|t,Matisse Bobichon,Tristan Schoolkate,ATP Challenger Rennes - QF,2026-09-18 14:45:01,0.21638812317121342,0.7836118768287865,0.23148148148148145,0.797979797979798,3000,2026-09-18 14:47:34,2026-09-18 14:35:06,2026-09-18 14:45:01,3732866613,-2.6,61
boehner|l|spiteri|d,boehner|l,spiteri|d,Laura Boehner,Dalila Spiteri,WTA 125k Tolentino - Qualifiers,2026-09-20 11:40:00,0.09325602103854388,0.9067439789614561,0.12121212121212122,0.9287749287749287,300,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 11:40:00,3735950712,65.7,52
