pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
donnet|e|ruggeri|s,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 11:00:00,647.5,0.4136810243082138,0.5863189756917861,0.4464285714285714,0.6183206106870228,375,3741886349
colin|p|martin|t,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 11:00:00,647.5,0.48579640765737697,0.5142035923426231,0.5192307692307692,0.5475113122171946,375,3741886070
koning|l|olmo|a,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 09:00:00,527.5,0.5696111488487808,0.4303888511512188,0.601593625498008,0.4629629629629629,375,3741889745
boutleux|n|seifert|s,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 12:00:00,707.5,0.14369478953554551,0.8563052104644546,0.17857142857142858,0.8853211009174312,375,3741886429
perez|m|xu|q,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 06:30:00,377.5,0.5215330759903644,0.4784669240096356,0.5454545454545454,0.5024875621890548,950,3741892033
joint|m|tararudee|l,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 03:00:00,167.5,0.46015077068277677,0.5398492293172233,0.4739336492890995,0.5535714285714286,4000,3741886764
kachmazov|a|sasikumar|m,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 04:00:00,227.5,0.8459943581014215,0.1540056418985784,0.8677248677248678,0.17857142857142858,550,3741886307
boluda|a|guevara|c,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 08:30:00,497.5,0.6647871579527415,0.33521284204725854,0.696969696969697,0.36900369003690037,375,3741884990
jiang|z|kubareva|a,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 02:00:00,107.5,0.16121933270082417,0.8387806672991757,0.1858736059479554,0.8607242339832869,750,3741888672
cengiz|b|dilek|d,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 11:30:00,677.5,0.6652506478195651,0.33474935218043494,0.6845425867507886,0.35460992907801414,200,3741891028
gibson|s|sutjiadi|e,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 12:00:00,707.5,0.335445432004365,0.6645545679956351,0.3623188405797102,0.6904024767801857,625,3741887325
seggerman|m|wallner|j,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 06:00:00,347.5,0.4285079258097285,0.5714920741902716,0.45248868778280543,0.5951417004048584,1250,3741887325
wu|h|yuan|e,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 06:00:00,347.5,0.56398207066022,0.43601792933978,0.5884773662551441,0.4608294930875576,1250,3741887325
andrade|a|basavareddy|n,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 01:45:00,92.5,0.3010017068028673,0.6989982931971327,0.3184713375796178,0.7159090909090909,2500,3741885511
banerjee|s|bernet|h,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 11:00:00,647.5,0.4792218213035419,0.520778178696458,0.5121951219512195,0.5535714285714286,375,3741884100
khomutsianskaya|d|wang|y,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 02:00:00,107.5,0.678196526293181,0.32180347370681905,0.7014925373134329,0.34602076124567477,750,3741886416
sagandikova|a|sidorova|k,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 03:00:00,167.5,0.09394174370552096,0.906058256294479,0.12195121951219513,0.9281609195402298,300,3741886416
banuls|c|lazarenko|k,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 10:00:00,587.5,0.7436803744292236,0.2563196255707764,0.7752808988764045,0.29069767441860467,375,3741891638
dietrich|d|searle|h,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 00:15:00,2.5,0.6351053688167763,0.3648946311832238,0.6515679442508712,0.38167938931297707,2500,3741891638
pokorny|l|recek|d,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 07:30:00,437.5,0.636661664845073,0.363338335154927,0.6688741721854304,0.3968253968253968,375,3741889734
kuwata|h|rajecki|a,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 03:00:00,167.5,0.07432181899593815,0.9256781810040619,0.10101010101010101,0.9457406402604449,225,3741888791
miedler|q|winegar|j,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 09:00:00,527.5,0.5356992507594307,0.46430074924056935,0.5614035087719298,0.49019607843137253,950,3741887325
olivetti|t|zhou|a,2026-09-26 00:12:32,2026-09-26 00:11:11,2026-09-26 07:30:00,437.5,0.8324342412957157,0.16756575870428422,0.8548621190130624,0.19267822736030826,950,3741890188
