pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
kirci|k|singh|d,2026-09-25 00:14:32,2026-09-25 00:02:46,2026-09-25 06:00:00,345.4,0.3109988688066649,0.689001131193335,0.3401360544217687,0.71671388101983,550,3740872712
kachmazov|a|tang|s,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 02:00:00,105.4,0.9617918047905273,0.03820819520947281,0.9741267787839586,0.05608524957936063,750,3740873178
fumagalli|f|madaras|d,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 08:30:00,495.4,0.11013651212243211,0.889863487877568,0.1440922190201729,0.9165971643035863,375,3740868939
agwi|m|murgett|f,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 11:00:00,645.4,0.691629782894951,0.3083702171050491,0.7237569060773481,0.3424657534246575,375,3740868939
bertrand|r|henning|p,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 11:00:00,645.4,0.3588220480411062,0.6411779519588938,0.3921568627450981,0.673202614379085,375,3740869016
boluda|a|pavlova|k,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 10:00:00,585.4,0.44561172836755636,0.5543882716324436,0.47846889952153115,0.5867768595041323,375,3740872908
dolzhenkov|d|majdandzic|m,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 06:00:00,345.4,0.1517323003411796,0.8482676996588204,0.18148820326678766,0.8738965952080706,550,3740872808
strombachs|r|zakaria|f,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 09:00:00,525.4,0.714004427836382,0.2859955721636181,0.7461928934010152,0.3205128205128205,375,3740868805
breaz|a|sevcikova|l,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 09:00:00,525.4,0.745552598018594,0.25444740198140625,0.7772828507795101,0.28901734104046245,375,3740869504
nagel|a|trufelli|t,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 10:00:00,585.4,0.823547500726991,0.17645249927300896,0.8538011695906432,0.2114164904862579,375,3740870652
kubareva|a|li|x,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 02:00:00,105.4,0.9287474271555161,0.07125257284448405,0.9456226209896683,0.09285051067780874,750,3740873178
oberleitner|p|safiullin|i,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 07:30:00,435.4,0.6697601948126828,0.3302398051873172,0.6932515337423313,0.35460992907801414,375,3740871994
jong|s|xilas|i,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 10:00:00,585.4,0.6997732063982518,0.30022679360174825,0.7319034852546916,0.33444816053511706,375,3740870476
oh|c|sasikumar|m,2026-09-25 00:14:32,2026-09-25 00:02:46,2026-09-25 04:00:00,225.4,0.36817492553884396,0.6318250744611561,0.3921568627450981,0.6551724137931035,550,3740872635
colin|p|domingos|d,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 08:30:00,495.4,0.5523759983316987,0.44762400166830135,0.5850622406639003,0.4807692307692307,375,3740870652
deckers|a|morais|d,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 11:00:00,645.4,0.7305493202121146,0.2694506797878854,0.7624703087885986,0.303951367781155,375,3740869016
lopatic|l|marmousez|l,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 10:00:00,585.4,0.11018112926421238,0.8898188707357874,0.1440922190201729,0.9165275459098498,375,3740870476
birrell|k|volynets|k,2026-09-25 00:14:32,2026-09-25 00:02:46,2026-09-25 03:00:00,165.4,0.26685436338411656,0.7331456366158834,0.28169014084507044,0.7474747474747475,4000,3740872635
giustino|l|lee|g,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 10:00:00,585.4,0.5938349590367747,0.40616504096322537,0.6254681647940076,0.43859649122807015,375,3740870476
sun|y|wang|y,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 02:00:00,105.4,0.28035205539112124,0.7196479446088788,0.3048780487804878,0.7429305912596401,750,3740872808
cassone|m|masur|d,2026-09-25 01:01:04,2026-09-25 00:48:15,2026-09-25 09:00:00,478.9,0.627662343822091,0.37233765617790904,0.6441281138790036,0.3891050583657587,1800,3740897154
halys|q|safiullin|r,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-26 02:00:00,1498.9,0.4500353916769562,0.5499646083230438,0.4672897196261683,0.5670995670995671,2400,3740889758
bertrand|r|henning|p,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 11:00:00,598.9,0.3606910362758508,0.6393089637241492,0.39370078740157477,0.6710526315789473,375,3740889241
mikrut|l|neumayer|l,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 11:30:00,628.9,0.6281996221482387,0.37180037785176134,0.646643109540636,0.390625,1500,3740895013
europe||world|,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 12:00:00,658.9,0.6533851262917639,0.3466148737082362,0.6855345911949686,0.3802281368821293,375,3740877521
gorgodze|e|selekhmeteva|o,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 15:30:00,868.9,0.33913048328525747,0.6608695167147425,0.36363636363636365,0.6845425867507886,275,3740883845
daniel|t|marozsan|f,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 07:00:00,358.9,0.3274633338543842,0.6725366661456158,0.3448275862068966,0.6894409937888198,2400,3740890228
basilashvili|n|zandschulp|b,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 08:30:00,448.9,0.3648946311832238,0.6351053688167763,0.38167938931297707,0.6515679442508712,2400,3740891450
stevens|e|te|j,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 07:30:00,388.9,0.7353993690995388,0.2646006309004612,0.7584541062801933,0.28901734104046245,375,3740892911
harris|l|vacherot|v,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-26 01:00:00,1438.9,0.4906509381324186,0.5093490618675814,0.5073891625615764,0.5260663507109005,2400,3740887312
kopriva|v|shapovalov|d,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 05:00:00,238.9,0.24319202980830096,0.756807970191699,0.2604166666666667,0.7732426303854876,2400,3740888082
golovina|m|hrabavets|u,2026-09-25 01:01:04,2026-09-25 00:47:25,2026-09-25 06:30:00,328.9,0.8134144712497937,0.18658552875020612,0.84,0.21645021645021645,550,3740890386
